report_date,report_time,swell_height_ft,swell_period_sec,air_temp_f,water_temp_f
11/03/24,01:00 GMT,1.3,13.0,59.5,56.8
11/03/24,02:00 GMT,1.3,13.0,57.2,56.5
11/03/24,03:00 GMT,1.3,14.0,57.0,56.5
11/03/24,04:00 GMT,1.6,13.0,55.9,56.7
11/03/24,05:00 GMT,1.3,13.0,55.4,56.7
11/03/24,06:00 GMT,1.3,12.0,54.0,56.7
11/03/24,07:00 GMT,1.6,11.0,52.7,56.7
11/03/24,08:00 GMT,1.3,13.0,52.7,56.5
11/03/24,09:00 GMT,1.3,14.0,53.4,56.1
11/03/24,10:00 GMT,1.3,17.0,53.1,55.9
11/03/24,11:00 GMT,1.3,14.0,52.9,55.8
11/03/24,12:00 GMT,1.3,18.0,51.6,55.8
11/03/24,13:00 GMT,1.3,18.0,50.7,55.8
11/03/24,14:00 GMT,1.3,13.0,50.2,55.8
11/03/24,15:00 GMT,1.6,18.0,54.5,55.8
11/03/24,16:00 GMT,1.6,17.0,57.4,55.8
11/03/24,17:00 GMT,1.6,18.0,57.9,55.9
11/03/24,18:00 GMT,1.6,17.0,60.8,55.9
11/03/24,19:00 GMT,1.6,17.0,61.5,55.6
11/03/24,21:00 GMT,1.6,17.0,62.2,55.6
11/03/24,23:00 GMT,1.3,17.0,66.7,55.2
